Conv__model.8_cv2_conv_Conv_95                               	None	eculidean_norm=0.015283	cosine_norm=0.999883
Relu__model.8_cv1_act_Relu_93                                	None	eculidean_norm=0.007586	cosine_norm=0.999971
Relu__model.8_cv2_act_Relu_86                                	None	eculidean_norm=0.013153	cosine_norm=0.999913
Conv__model.8_m_m.0_cv1_conv_Conv_113                        	None	eculidean_norm=0.010314	cosine_norm=0.999947
Relu__model.8_m_m.0_cv1_act_Relu_111                         	None	eculidean_norm=0.007963	cosine_norm=0.999968
Conv__model.8_m_m.0_cv2_conv_Conv_103                        	None	eculidean_norm=0.008393	cosine_norm=0.999965
Relu__model.8_m_m.0_cv2_act_Relu_94                          	None	eculidean_norm=0.006681	cosine_norm=0.999978
Add__model.8_m_m.0_Add_85                                    	None	eculidean_norm=0.009921	cosine_norm=0.999951
Concat__model.8_Concat_78                                    	None	eculidean_norm=0.010883	cosine_norm=0.999941
Conv__model.8_cv3_conv_Conv_77                               	None	eculidean_norm=0.011456	cosine_norm=0.999934
Relu__model.8_cv3_act_Relu_76                                	None	eculidean_norm=0.007465	cosine_norm=0.999972
Conv__model.9_cv1_conv_Conv_75                               	None	eculidean_norm=0.016322	cosine_norm=0.999867
Relu__model.9_cv1_act_Relu_65                                	None	eculidean_norm=0.008258	cosine_norm=0.999966
MaxPool__model.9_m_MaxPool_66                                	None	eculidean_norm=0.004885	cosine_norm=0.999988
MaxPool__model.9_m_1_MaxPool_67                              	None	eculidean_norm=0.003787	cosine_norm=0.999993
MaxPool__model.9_m_2_MaxPool_68                              	None	eculidean_norm=0.003362	cosine_norm=0.999994
Concat__model.9_Concat_60                                    	None	eculidean_norm=0.004088	cosine_norm=0.999992
Conv__model.9_cv2_conv_Conv_55                               	None	eculidean_norm=0.024112	cosine_norm=0.999709
Relu__model.9_cv2_act_Relu_53                                	None	eculidean_norm=0.006355	cosine_norm=0.999980
Conv__model.10_conv_Conv_44                                  	None	eculidean_norm=0.017681	cosine_norm=0.999844
Relu__model.10_act_Relu_35                                   	None	eculidean_norm=0.016051	cosine_norm=0.999871
Resize__model.11_Resize_97                                   	None	eculidean_norm=0.016051	cosine_norm=0.999871
